first_name,last_name,price,above_100
William,Dixon,109.03727963458522,true
Kristen,Horn,262.5246521922521,true
Kimberly,Chang,187.0072582777407,true
Mary,Ball,283.17464763656955,true
Benjamin,Craig,143.8715816881791,true
Cathy,Werner,61.50899135285132,false
Brandon,Bell,48.63730910375834,false
Paul,Farley,12.3894647885,false
Sarah,Mcdaniel,151.59544716874203,true
Caroline,Anderson,75.621521029936,false
Carl,Jones,147.02940469082753,true
Scott,Lee,244.1856527060776,true
Kaylee,Coleman,17.8642703219,false
Charles,Parker,215.5372830242686,true
Susan,Hess,38.35997062871797,false
Kiara,Collier,204.18254858412,true
Scott,Martinez,165.8514289408149,true
Christopher,Ortega,30.30144506447241,false
Michael,Russell,243.17249105103508,true
Dwayne,Johnson,287.4932856123935,true
Patty,Smith,180.23442574473592,true
Deanna,Sherman,99.79911841562615,false
Douglas,Francis,161.7688908056352,true
Vicki,Diaz,18.649876721417435,false
Robin,Phillips,244.91198356198336,true
Travis,Rice,141.49882541077946,true
Ashley,Rocha,50.00303730985961,false
Sarah,Jacobson,80.48182457363062,false
Kayla,Shannon,98.91531394497848,false
Sean,Wang DDS,220.62821774950515,true
Richard,Estrada,49.168691512056014,false
Joseph,Torres,150.12378419766594,true
Kim,Jones,18.84343770225838,false
Melissa,Tanner,269.184029942,true
Jackson,Cline,64.3125172107,false
Sonya,Foster,296.2155012166741,true
Allen,Williams,15.390831703593,false
Thomas,Rivera,95.2284371559212,false
Jamie,Silva,296.82440753934657,true
Kathleen,Moore,92.50052419128964,false
Evelyn,Pineda,169.22892925664138,true
Kyle,Peters,106.7990952132,true
Anthony,Cruz,49.1019981731,false
Eric,Flores,122.95569856549317,true
Anna,Richardson,254.495260589228,true
Gary,Harper,47.59652591777343,false
Linda,Johnson,115.3627815460529,true
Melissa,Smith,87.97994845806542,false
Kristen,Floyd,135.023041344123,true
William,Diaz,192.14913546689587,true
Benjamin,Smith,134.9052938905,true
David,Glenn,216.29104632060705,true
Dawn,Jones,271.6144998802729,true
